1,Spencer Wade,Esterdell,Kaimuki,Badger  ,Dorburn
2,Lana Fuller,Summermarble,Tegucigalpa,Sunflower  ,Newbarrow
3,Roy Ward,Griffinhaven,Greenpoint,Pelican  ,Fogmeadow
4,Jane Gonzales,Southgriffin,Windhoek,Sooner  ,Dominican Republic
5,Rosie Jimenez,Silverham,Framingham,The Great Lakes State ,Botswana
6,Estelle Jensen,Shoreford,Cedar Rapids,The Old Dominion ,Angola
7,Veronica Craig,Merriden,Davie,Beaver  ,Portugal
8,Wendy Bryant,Coldmerrow,Kalamazoo,Hoosier  ,Croatia
9,Shaun Black,Buttermill,Copenhagen,Gem  ,Luxembourg
10,Lorraine Moody,Byhurst,Holland,Bluegrass  ,Finland
11,Conrad Murphy,Blackmere,Stanley,Show-Me State ,Dominica
12,Gordon Ramos,Southbridge,Oneta,The Bay State ,Iceland
13,Patty Newman,Elfnesse,Liberty City,The Golden State ,Slovenia
14,Jared Malone,Starrymill,Albany,Land of Enchantment ,Lebanon
15,Pearl Abbott,Greymarsh,Dubuque,The Last Frontier ,Guyana
16,Agnes Walton,Newbank,Bridgetown,Volunteer State ,Grenada
17,Dale Delgado,Mallowshore,Flushing,Green Mountain State ,Nepal
18,Pamela Farmer,Snowland,St. Charles,Cornhusker State ,Niger
19,Catherine Mann,Highmill,Spring Hill College,Prairie State ,Namibia
20,Francis Rose,Aldgold,Cleveland,Constitution State ,Morocco
21,Gregory Warner,Estersage,St. Louis,Mountain State ,Islands
22,Kirk Alexander,Bridgemeadow,St. Clair Shores,Buckeye State ,Ireland
23,Jean Hall,Redpond,Wittman Field,Peace Garden State,Kosova
24,Olivia Rhodes,Deepmarsh,Havana,Keystone  ,Malta
25,Jennifer Aguilar,Oldcliff,St Cloud,Palmetto  ,Singapore
26,Heather Mitchell,Wyvernbourne,Lake Charles,Mount Rushmore ,Cape Verde
27,Thomas Meyer,Stonemere,Seattle,Grand Canyon ,Estonia
28,Sandy Erickson,Wildecastle,Frenchman Mtn,Peach  ,Tonga
29,Marco Pearson,Westerspell,Washington,Heart of Dixie ,Moldova
30,Alicia Obrien,Fairby,New Bedford,Granite  ,Belize
31,Evelyn Swanson,Blackdale,Chicago,Sunshine State,Kenya
32,Gilberto Nash,Meadowcastle,Madrid,Hawkeye  ,Kuwait
33,Clifton Potter,Aelbourne,Tskhinvali,Tar Heel State ,Haiti
34,Bert Singleton,Wellwyn,Hollywood,The Evergreen State ,Sudan
35,Brandon Zimmerman,Beechwick,Dearborn,Equality State ,Argentina
36,Natalie Ramsey,Rosecoast,Buffalo,The Empire State ,Liberia
37,Randy May,Newspring,Porto-Novo,Old Line State,Romania
38,Eugene Lynch,Springford,London Bridge,North Star State,Nauru
39,Bryan Norris,Bushhedge,Gallups Corner,Treasure State,Bermuda
40,Yvette Arnold,Raybarrow,Arlington,Magnolia State,Turkey
41,Ross Pena,Aelborough,Boynton Beach,Silver State,Malaysia
42,Cynthia Roberts,Sagegate,Jersey City,Lone Star State,Honduras
43,David Phillips,Merriford,St Paul,The Natural State,Norfolk Island
44,Lisa Gross,Byfox,Redford,Ocean State,Gabon
45,Sophia Owens,Icehedge,Bossier City,Garden State,Ghana
46,Edna Weber,Noracre,Heartland Village,Pine Tree State,El Salvador
47,Arlene Watkins,Mallowedge,Independence,Beehive State,Benin
48,Leah Maldonado,Dracston,Arlington Heights,Aloha State,Australia
49,Marcella Gutierrez,Valwall,Eau Gallie,Sunflower State ,Vanuatu
50,Alex Daniel,Icefall,Denver,Gem State,Egypt
51,Blake Powell,Westwell,Yerevan,The Last Frontier,Andorra
52,Jacquelyn Strickland,Oldbutter,St. Peters,Mount Rushmore State,Ivory Coast
53,Krystal Craig,Aldbeach,Bay Ridge,Old Line State,Barbados
54,Claire Hines,Westerlake,Escondido,North Star State,South Africa
55,Virgil Peters,Greyfay,Federal Way,Aloha State,Macau
56,Marilyn Lewis,Belbank,Bolingbrook,Hoosier State,New Caledonia
57,Trevor Wade,Dellmill,Joliet,Garden State,Austria
58,Daisy Saunders,Eastston,Sarajevo,Grand Canyon State,Sierra Leone
59,Leon Briggs,Fairshadow,Stono,Green Mountain State,Western Sahara
60,Chelsea Rogers,Rosecliff,Hargeisa,The Old Dominion,Ukraine
61,Lamar Morrison,Roseport,Nurney,Pelican State,St. Helena
62,Candace Rivera,Belcoast,Lynchburg City,Prairie State,Faroe Islands
63,Johnny Green,Lorwick,Thornton,The Great Lakes State,Guam
64,Russell Ryan,Merriton,Aurora,Pine Tree State,Monaco
65,Tammy Hall,Mallowviolet,Yakima,Lone Star State,Djibouti
